Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
high,11752,,Parrot ANAFI battery explosion-proof bag with 1 battery,High Quality Bags,"Specifications: small (can fit 1 battery)

Net weight: 30g (small)

Explosion-proof battery packs only, excluding batteries",4.62,,,,1
high,11752-1,,Parrot ANAFI battery explosion-proof bag with 2 batteries,High Quality Bags,"Specifications: medium (can fit 2 batteries)

Net weight: 49g (medium)

Explosion-proof battery packs only, excluding batteries",6.3,,,,2
high,11752-2,,Parrot ANAFI battery explosion-proof bag with 3 batteries,High Quality Bags,"Specifications: large (can fit 3 batteries)

Net weight: 69g (large)

Explosion-proof battery packs only, excluding batteries",7.98,,,,3
high,11098,,Royal MAVIC PRO Battery Explosion-proof Bag Black,High Quality Bags,,3.15,,,,4
high,11263,,DJI Xiao SPARK battery explosion-proof bag (small) black,High Quality Bags,,3.57,,,,5
high,11263-1,,DJI Xiao SPARK Battery Explosion-proof Bag (Large) Black Edge,High Quality Bags,,4.83,,,,6
high,11486,,New large portable explosion-proof bag with 215 * 155 * 115,High Quality Bags,,6.3,,,,7
high,11589,,Fire standard battery explosion-proof bag 38x28x7.5cm with zipper,High Quality Bags,,16.8,,,,8
high,11590,,Fire standard battery explosion-proof bag 38 * 28CM (black),High Quality Bags,"Features:
It has a double layer design, fire retardant fiberglass lining, this money and document support can guarantee maximum protection.
This fire retardant organizer is water resistant and supports up to 1200 21 or 2192 ?.
Great sealability and moisture proof, the strong closure protects the interior items well. Do not worry if there is any mold or moisture inside for a long time.
Large capacity, perfect choice for homes and workplaces. Keep your money, old photos, legal contract, passport, certificates and other valuables safe.
Foldable and portable, simply place in a kitchen drawer or in small safe boxes.

Specifications:
Color: Black
Material: Fiberglas
Item size: 38 * 30.5 * 6.5cm / 15 * 12 * 2.5in Item
weight: 475g / 16.7oz

Package list:
1 * bag",9.24,,,,9
high,17800,,"Explosion-proof battery bag ""235 * 65 * 180mm""",High Quality Bags,"*Fiberglass nylon

*Product Dimensions: (L*W*H): 240* 65* 180mm (9.45 *2.55 *7.10 Inches) with light weight: 0.32 pounds (5.1 oz). Can fit maximum 6 pcs different sizes of batteries.

*Material: Using Fiberglass which is the most efficient insulative and heat-resistant material covers both sides to reduce the impact of battery burning or fire.

*Design: The Long-side flap on top fully covers and protects the battery with strong Velcro strips. The inside of bag has three elastic bands that can better help stabilized and separated different kind batteries.

*Extensive function: The best way to protect your workshop, family, home from the hazard of LiPo battery charging, easy carry between transportation and storage while unused.

*Pacakge Include: 1 x safe guard charge bag large(240*65*180mm)",5.67,,,,10
high,17801,,Multifunctional model lithium battery explosion-proof bag 185 * 75 * 60mm,High Quality Bags,,3.57,,,,11
high,12166,,"New environmental protection lithium battery explosion-proof bag, portable 240 * 65 * 185MM 159G",High Quality Bags,,10.5,,,,12
high,12167,,"New environmental protection lithium battery explosion-proof bag, portable 220 * 75 * 100MM 120G",High Quality Bags,,11.76,,,,13
high,12168,,"New environmental protection lithium battery explosion-proof bag, portable 230 * 50 * 300MM 200G",High Quality Bags,,13.02,,,,14
high,12169,,"New environmental protection lithium battery explosion-proof bag, portable 215 * 45 * 165MM",High Quality Bags,,11.76,,,,15
high,12170,,New environmental protection lithium battery explosion-proof bag portable 155 * 45 * 155MM 99G,High Quality Bags,,9.87,,,,16
high,12171,,New environmental protection lithium battery explosion-proof bag three-dimensional 90 * 55 * 140MM 62G,High Quality Bags,,8.61,,,,17
