Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
ind,1,,Hot Glue Gun + 5 Glue Sticks,Good Quality,"40 Watt Hot Glue Gun
Included with good grade glue sticks",5.63,,,,1
ind,2,,Hot Glue Gun,Good Quality,40 Watt Hot Glue Gun,4.22,,,,2
ind,3,,Glue Sticks,Good Quality,25 Glue Sticks for Hot Glue Gun,5.3,,,,3
mira,HY033-00101,,Instant Glue (ordinary version),20 grams,"Instant Glue (ordinary version)
Weight/Color : 20g
Unit : pc",0.75,,,2,4
mira,HY033-00102,,Instant Glue (ordinary version),30 grams,"Instant Glue (ordinary version)
Weight/Color : 30g
Unit : pc",0.9,,,2,5
mira,HY033-00103,,CA Micro Applicators,L60 ~ 80mm (pack of 6),"CA Micro Applicators
Weight/Color : 
Unit : 6pc/set",0.54,,,2,6
mira,HY033-00201,,Glue,Sticks iron / wood,"Glue
Weight/Color :  20g
Unit : pc",0.9,,,2,7
mira,HY033-00202,,Glue,Three seconds quick-drying glue,"Glue
Weight/Color :  20g
Unit : pc",1.716,,,2,8
mira,HY033-00205,, 3-TON CLEAR EPOXY ADHESIVE  ,FOR: Foam / Metal / Rubber Rubber / Plastic Plastic /," 3-TON CLEAR EPOXY ADHESIVE  
Weight/Color : 
Unit : set",5.4,,,2,9
mira,HY033-00301,,Colored Tapes,48mm?150y,"Colored Tapes
Weight/Color :     green
Unit : pc",3.6,,,2,10
mira,HY033-00302,,Colored Tapes,48mm?150y,"Colored Tapes
Weight/Color : blue
Unit : pc",3.6,,,2,11
mira,HY033-00303,,Colored Tapes,48mm?150y,"Colored Tapes
Weight/Color : red
Unit : pc",3.6,,,2,12
mira,HY033-00304,,Colored Tapes,48mm?150y,"Colored Tapes
Weight/Color : pink
Unit : pc",3.6,,,2,13
mira,HY033-00305,,Colored Tapes,48mm?150y,"Colored Tapes
Weight/Color : orange
Unit : pc",3.6,,,2,14
mira,HY033-00401,,Masking Tape,12mm,"Masking Tape
Weight/Color : 
Unit : 18pc",11.55,,,2,15
mira,HY033-00402,,Masking Tape,18mm,"Masking Tape
Weight/Color : 
Unit : 12pc",11.55,,,2,16
mira,HY033-00403,,Masking Tape,22mm,"Masking Tape
Weight/Color : 
Unit : 9pc",11.55,,,2,17
mira,HY033-00501,,Reinforced Super Tape,15mm?55M  (Import cross pattern),"Reinforced Super Tape
Weight/Color : 
Unit : pc",13.2,,,2,18
mira,HY033-00502,,Reinforced Super Tape,24mm?50M  (Import cross pattern),"Reinforced Super Tape
Weight/Color : 
Unit : pc",17.82,,,2,19
mira,HY033-00503,,Reinforced Super Tape,20mm?25M  (Import cross pattern),"Reinforced Super Tape
Weight/Color : 
Unit : pc",4.62,,,2,20
mira,HY033-00505,,Reinforced Super Tape,48mm?50M (Import cross pattern),"Reinforced Super Tape
Weight/Color : 
Unit : pc",32.4,,,2,21
mira,HY033-00601,,Foam Safe Contact Glue,Foam Safe Contact Glue,"Foam Safe Contact Glue
Weight/Color : 
Unit : pc
38g   L25mm",1.98,,,2,22
mira,HY033-00602,,Foam Safe Contact Glue,Foam Safe Contact Glue,"Foam Safe Contact Glue
Weight/Color : 
Unit : pc
18g  L19mm",1.38,,,2,23
mira,HY033-00701,,Super Glue,Super Glue,"Super Glue
Weight/Color : 20g
Unit : pc",1.98,,,2,24
mira,HY033-00801A,,Rub Duct Adhesive Tape,Rub Duct Adhesive Tape,"Rub Duct Adhesive Tape
Weight/Color : black/grey/red/yellow/white
Unit : pc
Length : 48mm?12m",5.94,,,2,25
mira,HY033-00901,,Aluminium Foil Adhesive Tapes,Aluminium Foil Adhesive Tapes,"Aluminium Foil Adhesive Tapes
Weight/Color : 
Unit : pc
60mm?38M",10.5,,,2,26
mira,HY033-00902,,Aluminium Foil Adhesive Tapes,Aluminium Foil Adhesive Tapes,"Aluminium Foil Adhesive Tapes
Weight/Color : 
Unit : pc
48mm?38M",9,,,2,27
mira,HY033-01001,,Double sided Tapes,Double sided Tapes,"Double sided Tapes
Weight/Color : 
Unit : pc
20mm?50M",1.77,,,2,28
mira,HY033-01101,,271 high strength medium viscosity,Glue fo r Screw,"Glue fo r Screw
Weight/Color : 
Unit : pc",2.1,,,2,29
mira,HY033-01102,,242 universal medium strength,Glue fo r Screw,"Glue fo r Screw
Weight/Color : 
Unit : pc",2.1,,,2,30
