Supplier Code,Product Code,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort,,,,,,
jane t,F60PROIII,T-MOTORS 1900 KV,FPV MOTORS,"Size: 2207.5
Color: gray
KV: 1900/2150
Weight Excluding Cables:32g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",47.25,,,,1900,,,,,,
jane t,F60PROIII,T-MOTORS 2150 KV,FPV MOTORS,"Size: 2207.5
Color: gray
KV: 1900/2150
Weight Excluding Cables:32g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",47.25,,,,2150,,,,,,
jane t,F40PROIII,T-MOTORS 2400 KV,FPV MOTORS,"Size: 2306.5
Color: gray
KV: 2400/2600
Weight Excluding Cables:30g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer,",48.75,,,,2400,,,,,,
jane t,F40PROIII,T-MOTORS 2600 KV,FPV MOTORS,"Size: 2306.5
Color: gray
KV: 2400/2600
Weight Excluding Cables:30g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer,",48.75,,,,2600,,,,,,
jane t,F60PROIII,T-MOTORS 2500 KV,FPV MOTORS,"Size: 2207.5
Color: gray
KV: 2500/2700/1750
Weight Excluding Cables:32g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",48.75,,,,2500,,,,,,
jane t,F60PROIII,T-MOTORS 2700 KV,FPV MOTORS,"Size: 2207.5
Color: gray
KV: 2500/2700/1750
Weight Excluding Cables:32g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",48.75,,,,2700,,,,,,
jane t,F60PROIII,T-MOTORS 1750 KV,FPV MOTORS,"Size: 2207.5
Color: gray
KV: 2500/2700/1750
Weight Excluding Cables:32g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",48.75,,,,1750,,,,,,
jane t,BLACK BIRD,T-MOTORS 2700 KV,FPV MOTORS,"Size: 2207
Color: gold & black
KV: 2700
Weight Excluding Cables:30g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",49.75,,,,2700,,,,,,
jane t,MCK,T-MOTORS 1800 KV,FPV MOTORS,"Size: 2207
Color: gold & black
KV: 1800/2500
Weight Excluding Cables:30g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",52.25,,,,1800,,,,,,
jane t,MCK,T-MOTORS 2500 KV,FPV MOTORS,"Size: 2207
Color: gold & black
KV: 1800/2500
Weight Excluding Cables:30g
Wire(AWG):  #20 Auw, 150mm
Spare parts: 4*(M3*7) , 1*M5 Prop Nut , 1*M2.5*6 shaft screw,1*shaft screw washer, 2*stickers",52.25,,,,2500,,,,,,
