Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
high,16228,,7.4V 2S 1-12P charging board,High Grade Equipments,"*This parallel charger board can satisfy your needs of multiple balance boards for different battery balance plugs, it will allow you to charge up to 12 lipo batteries with UMX-style connectors at once.

*Input charge connector: male 4mm banana plug, the 2s balance charger board needs to connect to LiPo charger for charging battery.

*Charges in parallel, this parallel charging board can charge and balance up to 12 batteries of same capacities at the same time instead of balancing batteries one by one. Very convenient and effective!

*Support for many kinds of batteries: Blade 130 X, mCP X BL, UMX Beast, Mig, Carbon Cub and Sbach 342 etc.

*Board size: 63*32mm, weight: 25g (0.88 ounces). main line: 150mm, balance line length: 100mm. Please feel free to contact us if you have any issue about this 2s lipo battery charger, we are here for you!",3.57,,,,1
high,16229,,3 .7V 1-12P ultra-miniature charging board,High Grade Equipments,,3.36,,,,2
high,20636,,2-6S JST XH Adapter Plate,High Grade Equipments,"Description:
100% brand new and high quality
JST XH balance load adapter 6 S expansion board
Suitable for MEGA Power 860 and 960 charger
Dimension: 60x25x15mm / 2.4x1x0.6 inch (cable length is not included.)
Color : As shown in the pictures
 
Note: 
1. Transition: 1cm = 10mm = 0.39 inch
2. There may be 1-3mm error due to manual measurement. Please make sure you don't mind before bidding.
3 Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!

Package includes:
1 X Load balance expansion adapter with cable (without retail package)",2.73,,,,3
high,19167,,And fill the board T head (red),High Grade Equipments,"Multi 2 S-6 S Parallel Lipo Load Table balance XT60 plug for RC battery charger B6AC A6 720i lithium battery charger part

Description:
This product is designed to simultaneously charge several lithium batteries (including Lipod, Life and Lion) in parallel. It is convenient to charge and balance six lithium batteries at the same time when used with a balance charger, which significantly reduces the charging time, since all batteries have been balanced at the same time instead of balancing the batteries one by one .
Characteristics:
ABS housing is fire resistant.
It can be used with all types of chargers (IMAX B8, UN A6, etc.) with balanced interface to provide balance load less than 6 lithium batteries (6 batteries of 2 S, 3 S, 4S, 5S, 6 S) that they have the same cells at the same time, which can avoid replacing the battery several times.
The total voltage is more balanced and the average voltage difference is smaller after the individual cells have balanced.
Compared to 6 times the individual load balance, once the charging time can shorten greatly, it has 6 times the charging current and only needs 1/6 with 6 parallel battery packs.
It comes with short circuit protection function (with 40A fuse).
It can supply balance load of 1 to 6 batteries (containing Lipod, Life and Lion) in parallel and supports 3 parallel charging plates to simultaneously charge 18 Units.
The XT60 plug supports 80A charging current.
It can avoid the overload of a single battery to improve the efficiency of the balance and balance of the charging cycle.
Specifications:
Material: Metal
Color: As the pictures show
Plug Type: XT60
For batteries: 2-6 s
Size: 14 * 6.7 * 2.5cm / 6 * 2.6 * 1.0 inch
Weight: 150g
Type: Remote Control toy accessories
Function: charging several lithium batteries simultaneously
How to use:
1. Connect the two ends of the 6S cable to the balanced terminals of the balanced charger and the balanced load plate.
2. Connect the power terminal of the balanced load plate to the output terminal of the balanced charger.
3. Connect the battery to the battery panel. Insert the balance head first and then connect it to the battery's output terminal.
Package includes:
1 x Parallel Load Plate
1x6 S Cable
Note:
The charging voltage of several lithium battery packs is the same as the voltage of a battery, for example, the voltage of 4 Units 7.4 V is 7.4 V.",8.4,,,,4
high,19168-2,,And fill the board XT60 head upgrade version,High Grade Equipments,"Description:
This product is designed to simultaneously charge several lithium batteries (including Lipod, Life and Lion) in parallel. It is convenient to charge and balance six lithium batteries at the same time when used with a balance charger, which significantly reduces the charging time, since all batteries have been balanced at the same time instead of balancing the batteries one by one .
Characteristics:
ABS housing is fire resistant.
It can be used with all types of chargers (IMAX B8, UN A6, etc.) with balanced interface to provide balance load less than 6 lithium batteries (6 batteries of 2 S, 3 S, 4S, 5S, 6 S) that they have the same cells at the same time, which can avoid replacing the battery several times.
The total voltage is more balanced and the average voltage difference is smaller after the individual cells have balanced.
Compared to 6 times the individual load balance, once the charging time can shorten greatly, it has 6 times the charging current and only needs 1/6 with 6 parallel battery packs.
It comes with short circuit protection function (with 40A fuse).
It can supply balance load of 1 to 6 batteries (containing Lipod, Life and Lion) in parallel and supports 3 parallel charging plates to simultaneously charge 18 Units.
The XT60 plug supports 80A charging current.
It can avoid the overload of a single battery to improve the efficiency of the balance and balance of the charging cycle.
Specifications:
Material: Metal
Color: As the pictures show
Plug Type: XT60
For batteries: 2-6 s
Size: 14 * 6.7 * 2.5cm / 6 * 2.6 * 1.0 inch
Weight: 150g
Type: Remote Control toy accessories
Function: charging several lithium batteries simultaneously
How to use:
1. Connect the two ends of the 6S cable to the balanced terminals of the balanced charger and the balanced load plate.
2. Connect the power terminal of the balanced load plate to the output terminal of the balanced charger.
3. Connect the battery to the battery panel. Insert the balance head first and then connect it to the battery's output terminal.
Package includes:
1 x Parallel Load Plate
1x6 S Cable
Note:
The charging voltage of several lithium battery packs is the same as the voltage of a battery, for example, the voltage of 4 Units 7.4 V is 7.4 V.",9.66,,,,5
high,11704,,G.T POWER 2-3S JST and fill the board,High Grade Equipments,"Features:
Reduces the charging time: the parallel charging plate could help charge up to 8 batteries at the same time instead of balancing the batteries one by one, significantly accelerating the battery's charging speed.
Supports multiple batteries: can charge LiPo 2 S or 3 S, lifespan and Li-ion battery.
Support JST plug battery.
Supports multi-balance load such as imax B6, B6AC, etc.
Mini size: 93 * 53 * 28mm, easy to carry and durable use.

Specification:
Item name: Parallel battery charging plate Battery holder
: 2 S / 3 S
Support battery: LiPo, LiFe, Li-ion
Support charger: imax B6 B6AC balance charger, etc.
Support battery connector: JST
Current input connector: XT60, 4mm banana plug
Total Current: <10A
Jst output current for one: <3A
Total current of the balance port: <3A
Total Voltage: < 36V 36V
Dimension: 93 * 53 * 28mm
Weight: 76g
Note: The parallel charging plate only supports charging batteries from 1 to 8 Units with the same voltage (2 s or 3 s) and the same type (LiPo, LiFe or Li-ion) at the same weather.

Graphite crucible mini furnace gold torch melting metal:
1 * 8X JST plug 2S / 3S parallel battery charging plate",13.86,,,,6
high,12175,,XT60+XT30 two-in-one charging board,High Grade Equipments,"Description:
Article: Parallel
Balance output cable: 18AWG silicon cable
Electricity: Support MAX. 35A charging current
Support 4 packs 2 s, 4 packs 3 s, 4 packs 4 s, 4 packs 5 s, 4 packs 6 s, 4 packs 7 s, 4 packs 8 s balance charge.

Properties:
1. Supports up to four packs of the same type, same cells 2-8S battery pack.
2. balanced port output line with 18AWG multi-strand silicone line.
3. Equipped with safety protection T plug silicone cap.
4. High quality gold plated connectors.
5. Thicken PCB copper foil, allow safety with 35A charging current
6. Equipped with 40A fuse between any two groups of batteries, to prevent burned line due to
Great battery pressure.

Package Included: 
1X PG Parallel",14.7,,,,7
high,21285,,HP-PQ adapter board,High Grade Equipments,SKYRC B6 B6AC balance load adapter plate TP / FP EH HP / PQ XH plate adapter plate,2.73,,,,8
high,18997-1,,"2s-6s RC lithium battery converter charger ""T head red""",High Grade Equipments,"Compatible with 2 SA 6S lithium battery, 5V output, can charge any type of mobile phone.
This device can not only be used to charge mobile phones. You can also charge the tablet and a variety of battery backup devices (such as cameras, Bluetooth Headphones), can be used as a USB portable lamp power supply.
In hot summer, you can power the USB fan.
If you have a USB expansion port, a mobile phone can charge three phones at the same time.
You can charge the backup battery of the device.

Specifications:
Input: 2 S-6 S
Output: 5V-2A
The weight of about 10 grams
Connector type: T plug XT60 plug
Output interface: standard USB interface
Size: 53mm * 15mm * 8mm",6.93,,,,9
high,18997-2,,"2s-6s RC Li-ion Converter Charger ""XT60 Red""",High Grade Equipments,"*Digital voltage display Supports 2S to 6S lithium battery lithium battery, output 5V, can charge any type of mobile phone.

*This gadget can not only be used to charge the mobile phones.

*Also can charge the Tablet PC and a variety of battery backup devices (such as cameras, Bluetooth headsets), can be used as USB portable lamp power supply.

*In hot summer, can supply power to the USB fan. If you have a USB expansion port, a cell phone can charge to three phones at the same time.

*Can charge the backup battery of the device.",7.35,,,,10
