Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
mira,HY001-03401,,8045 (3 holes),E-Props for quadrotor (std & reverse),"Size : 8045 (3 holes)
Weight : 10g/pair
Unit : pair",1.44,,,,13
mira,HY001-03501,,8055 (3 holes),E-Props for quadrotor (std & reverse),"Size : 8055 (3 holes)
Weight :  9.5g/pair
Unit : pair",1.44,,,,14
mira,HY001-03601,,"9055 (3 holes) 
Positive and negative paddle holes
 phi4 / phi3",E-Props for quadrotor (std & reverse),"Size : 9055 (3 holes) 
Positive and negative paddle holes
 phi4 / phi3
Weight : 12.6g/pair
Unit : pair",1.56,,,,15
mira,HY001-03602,,"1055 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3",E-Props for quadrotor (std & reverse),"Size : 1055 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3
Weight : 14.8g/pair 
Unit : pair",1.74,,,,16
mira,HY001-03603,,"1555 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3",E-Props for quadrotor (std & reverse),"Size : 1555 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3
Weight : 54.2g/pair
Unit : pair",2.94,,,,17
mira,HY001-03604,,"1155 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3",E-Props for quadrotor (std & reverse),"Size : 1155 (3 holes) 
Positive and negative paddle holes 
phi4 / phi3
Weight : 
Unit : pair",1.92,,,,18
mira,HY001-03605,,"1255 (3 holes) 
forward and reverse paddle holes 
phi4 / phi3",E-Props for quadrotor (std & reverse),"Size : 1255 (3 holes) 
forward and reverse paddle holes 
phi4 / phi3
Weight : 
Unit : pair",2.1,,,,19
mira,HY001-03801,,"9443 
positive and negative paddles (non-self-locking paddles) (white / white) 
Applicable to DJI / Phantom 2",E-Props for quadrotor (std & reverse),"Size : 9443 
positive and negative paddles (non-self-locking paddles) (white / white) 
Applicable to DJI / Phantom 2
Weight : 17.6/pair
Unit : pair",1.8,,,,20
mira,HY001-03802,,9443Forward and reverse (self-locking paddle M6) (white) for DJI / Phantom 2,E-Props for quadrotor (std & reverse),"Size : 9443Forward and reverse (self-locking paddle M6) (white) for DJI / Phantom 2
Weight : 28.4/pair
Unit : pair",3.75,,,,21
mira,HY001-03901,,9443Forward and reverse (non-self-locking paddle) (black / black) for DJI / Phantom 2,E-Props for quadrotor (std & reverse),"Size : 9443Forward and reverse (non-self-locking paddle) (black / black) for DJI / Phantom 2
Weight : 17.6/pair
Unit : pair",1.8,,,,22
mira,HY001-03902,,9443Forward and reverse (self-locking paddle M6) (black / black) for DJI / phantom2,E-Props for quadrotor (std & reverse),"Size : 9443Forward and reverse (self-locking paddle M6) (black / black) for DJI / phantom2
Weight : 28.4/pair
Unit : pair",3.75,,,,23
mira,HY001-04001,,1552 forward,Folding Props for Quadrotor  (std & reverse),"Size : 1552 forward
Weight : 12g/pair
Unit : pair",2.04,,,,25
mira,HY001-04002,,1552 reverse paddle,Folding Props for Quadrotor  (std & reverse),"Size : 1552 reverse paddle
Weight : 12g/pair
Unit : pair",2.04,,,,26
mira,HY001-04003,,1340 forward,Folding Props for Quadrotor  (std & reverse),"Size : 1340 forward
Weight : 11g/pair
Unit : pair",2.04,,,,27
