Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
high,10120,,IMAX Charger B6 80W 6A,High Grade Equipments,"LCD screen
Power input: 11-18 volt DC
Circuit power: max. 80 W
Load current range: 0.1 6.6.0a
Current drain for li-po balance: 300 mAh / cell
NiCd / NiMh battery: 1 cell 15 cells
Number of Li-ion / polymer cells: 1 ~ 6 series
Pb battery voltage: 2 va 50 v
Weight: 350g
Dimensions: 137X87X33mm

Packaging content:
100% brand new
1 x iMAX B6 battery charger
1x cable
1xAC Adapetr",25.2,,,,1
high,10120+20946,,IMAX Charger B6 80W 6A+12V5A Power Adapter,High Grade Equipments,"LCD Display
Power Input: DC 11 - 18Volt
Circuit power : Max. 80W
Charge current range : 0.1~6.0A
Current drain for balancing Li-po : 300mAh/cell
NiCd/NiMh battery cell count : 1~15cell
Li-ion/Polymer cell count : 1~6series
Pb battery voltage : 2v to 50v
Weight : 350g
Dimensions : 137 X 87 X 33mm

Packing Content:
100% Brand New
1x iMAX B6 Battery Balance Charger
1x cable set
1xAC Adapter",33.6,,,,2
high,10002,,IMAX charger B6AC 80W (European regulation),High Grade Equipments,"Highlights:
? High-power and high-performance circuit
? Microprocessor controlled
? Maximen safety: Delta-peak sensitivity, capacity limit, processing time limit, temprature limit, input power monitor
? Monitoring the voltage of individual cell
? Can charge Li-ion / LiPo / LiFe 1 - 6 cells, and Ni-Cd / NiMH 1 -15 cells
? Dual power, built-in AC adapter
? Undefined Large range of charge currents
? Store function, allows safe storage current, and data storage ( Store up to 5 packs in memory )
? Battery break in and cycling
? Built-in temperature sensor
? Separate voltage detector for balance charge mode

Specification:
? Operation voltage range : DC 11.0 - 18.0 Volt or AC 100V - 240V 50 / 60Hz
? Circuit power : AC to DC adaptor ( DC 11.0 - 18.0V / 5A )
? Max charge power 80W
? Max discharge power 5W
? Charge current range : 0.1 - 5.0A
? Discharge current range : 0.1 - 1.0A
? Current drain for balancing Li-Po : 300mAh / cell
? NiCd / NiMH battery cell count : 1 - 15 cell
? Li-Ion / Polymer cell count : 1 - 6 series
? Pb battery voltage : 2V - 20V",36.96,,,,3
high,13335,,B6AC+ Waterproof Button 50W Tamiya Head,High Grade Equipments,"Specifications:
AC input: 100-240Volt
DC input: 11-18Volt
Circuit power: Max.charge power 50W
Max.discharge power 5W
Charge current range: 0.1-5.0A
Discharge current range: 0.1-1.0A
Plug standard: US Canada UL CSA Certified standard plug (as shown in the pictures)
Current drain for balancing Li-po: 300mA/cell
NiCd/NiMH battery cell count: 1-15cells
Li-ion/Polymer cell count: 1-6cells
Pb battery voltage: 2V- 20V
Product weight: 645g
Product dimensions: 145x134x40mm
Package weight: 881g
Package dimensions: 204x201x55mm

Package includes:
1 x iMax B6AC+ Balance Charger
1 x Power Supply Connecting Cable
6 x Multifunctional Cables (as shown in the pictures)
1 x User Manual",42.84,,,,4
high,10495,,SkyRc-S60 balance charger 60w mini min charger,High Grade Equipments,"Specifications:
Brand: SKYRC
Input voltage: AC 100-240 V
Load circuit power: Max 60 W
Discharge circuit power: 10 W
Load current
range : 0.1-6A Discharge current range 0.1 -2A
Drian current for the balance port: Max 200mA / cell
Drip charge current: 50mA-300mA and off
LiPo / life / LiIon / LiHV bank bill: S 2-4
NiMH / NiCd: 6-8 S
Pb battery voltage: 6-12 V
Dimension: 112 * 106 * 52mm
Net Weight 324g

list:
1 * SkyRC S60 balance charger
1 * Power cable
1 * Cable Charging with connector XT60
1 * English manual",83.16,,,,5
high,10820,,TE6AC charger,High Grade Equipments,"Specification

Product name: UAV and RC balance charger
Article No : TE6AC
Input voltage: 11-18vDC 100-240VAC
Max. load power: 50 W
Charging current: 0.1-5.0A
LiPo / LiFe / Lilon Number of batteries: 1-6 S
NiCd / number of NiMH batteries: 1-15 s
Pb battery voltage: 2-20V
Advantage : Built-in adapter
NW! : 0.383 kg
G W. : 0.672 kg
Size: 22 * 19 * 7cm",33.6,,,,6
high,10823,,TE3AC charger,High Grade Equipments,,14.7,,,,7
high,10822,,E3AC charger,High Grade Equipments,,11.76,,,,8
high,10971,,HOTRC 20w B3 model balance charger,High Grade Equipments,,9.24,,,,9
high,10972,,HOTRC B3 10W Aircraft Battery Balance Charger,High Grade Equipments,,7.14,,,,10
high,11409,,HOTRC B3 10W RC Battery Balance Charger,High Grade Equipments,,126.84,,,,11
high,11409+20366,,BC168 charger +12V 30A switching power supply,High Grade Equipments,,151.2,,,,12
high,18661,,New Ledi CB86 PLUS charger,High Grade Equipments,"Technical parameters
 
Professional Li battery balance charger, eight simultaneous battery charges
Size: 188x104x57mm
Input voltage: 11-15V DC
Load capacity: LiPo / LiFePo 1 S-6 S
Charging current: 0.1-6.0A
Charging mode: cycle load and parallel load
Incorrect input polarity protection: Yes
Voice: Buzzer (on / off)
Display: 2.8 inch TFT screen
English language
Management Approval: Yes
Watts: 220 W
Product description: eight battery balancer connectors, maximum connection of eight 6S Li batteries. Safe design Compatible to 1 S-6 S battery
 
Package includes:
 
1 * CB86 Plus charger.
1 * user manual",179.76,,,,13
high,11581,,HOT RC 3S 4S Fast Charger with Voltage Display A400 Charger,High Grade Equipments,"Mode: A400
Weight: 135g
Size: 98 * 60 * 26 MM
Max charging current: 3000mah
Battery type: lipo 4 s 3 s
Balanced current: 300 mah / cell
Maximum load power: 40 W
Load stop voltage: 4.2 V +- 0. 02 V
Housing material: ABS + polycarbonate flame retardant material
Screen accuracy: +- 0. 05 V",18.9,,,,14
high,11623,,E300 PRO Simple Balance Charger 2-3S,High Grade Equipments,"Input voltage: AC 110V-240V
Balance charging current: 1000mA
Display: LED display
Case: Plastic
Dimension: 94mm * 59mm *
31mm Weight: 147g

Introduction:
With the development of electrical technology, we have a new design Easy compact balance charger for quick charging of 2 and 3 cell LiPo battery with wide AC input? An internal power of the 100-240V AC switch is integrated, and the high-precision balance circuit can supply a larger current of up to MA per cell. The double color LED can show the charging process. This charger is compact and lightweight, especially the corresponding separate balance port for each battery pack.

Package content:
1 x charger
1 power plug (US plug / European plug)
1 x instruction manual",8.4,,,,15
high,19187,,Balanced Charger B3* PRO European Regulations,High Grade Equipments,"Characteristics:

100% brand new and high quality
With the development of electrical technology, we have a new design of easy compact balance charger for fast charging of 2 and 3 cell LiPo battery with wide AC input.
An internal 100-240V AC switch is integrated, and the high-precision balance circuit can supply a current greater than 850mA per cell.
The dual color LED can show the charging process (red: charging; green: full).
This charger is compact and lightweight, especially there is a separate balance port for each battery.
Specifications:

Input voltage: AC 100V-240V
Load current balance: 850mA
Maximum charger current: 3 * 800mA
Display: 3x Bicolor LED display
Plug: European plug
Display: green and red LED
Material: ABS
Dimension: 90x55x35mm / 3.5x2.2x1.4 inches
Main color: Black, as shown in the pictures
Quantity: 1 Pc
Instructions:
1: Turn on the charger first.
2: When the battery charger head balance 2 s, the charger before the two lights turn red.
3: When the battery charger head balance 3 s, the three lights turn red, when the charge turns on after green.
Note:
Do not simultaneously charge 2 s and 3 s in the charger, the battery's ability to use other chargers is recommended.",5.46,,,,16
high,19187-1,,"Balanced charger B3* 20w blue word ""US regulations""",High Grade Equipments,"Description:
100% brand new and high quality
This charger is compact and lightweight, which can charge the 2 S or 3 S battery pack, especially there is a separate balance port for each battery pack.
Convenient and portable?

First, connect the B3 with the power supply, and then the three LED lights turn green, indicating that the charger works in good order.
Second, connect the Lipo 2 S or 3 S battery to the balance port, and then the LED lights turn red and start charging the battery. Note that if a battery is fully charged, the corresponding LED will turn green.
After all the LED lights turn green, the charging process is finished. Please finish the charging process.


Specifications:
Plug Type: US US / EU
Power input voltage: AC 100 to 240 V
Output power: 20 Watts
Charging current: 1.6A
Battery type: LiPo 2 S-3 S (series)
Size: approx 90mm * 60mm * 35mm


Package included:
1 * B3 20W charger
1 * power cable",9.24,,,,17
high,11814,,2-3S lithium battery balance charger G3220,High Grade Equipments,,20.16,,,,18
high,10454,,Green one for six charger,High Grade Equipments,"Description:
This intensity-Charger function is specially designed for Syma X5C drone battery Made of high quality material, durable, practical and environmentally friendly. With stable performance, you can charge 6 batteries at the same time, saving a lot of time. Provides protection against overloads and short circuits. When charging is complete, the charging indicator light turns off automatically.


Features:
1 made of high quality material, durable, practical and environmentally friendly, and not easy to damage.
2 with stable performance, you can charge 6 batteries at the same time, saving a lot of time.
3. Designed with 6 XH charging ports, this will be more practical to use.
4. Provides protection against overloads and short circuits. Overload protection for each charging port, more security. When charging is complete, the charging indicator light turns off automatically.
5. This multifunction charger is specially designed for the Drone Syma X5C battery.
6. Easy to install and easy to use.

Specifications:

Condition: 100% Brand New
Type: Charger
Material: ABS
Color: as shown in the pictures
Input: DC5V-0.5-2.7A
Output: DC3.7V 450MA
Charging port: type XH
Compatible with: for Syma X5C Drone 3.7V li-po battery
Charger size: approx. 49 * 34 * 13mm / 1.9 * 1.3 * 0.5 inch
USB Cable Length: Approx.50cm / 19.7 inch
Package weight: approx. 23g


Package includes:

1 x charger
1 x USB Cable",3.36,,,,19
high,10312,,AOK 5 in 1 BB alarm,High Grade Equipments,"This product cannot be independent of the use of high power discharge mode, it is necessary to cooperate with the use of the AOK high power bulb discharge module (the discharge module is not included)! Cooperate with the 50 W or 150 W discharge module.

Function:

-1 to 8S lithium batteries voltage test;
- Lithium batteries audible low voltage and visual alarm (adjustable low voltage alarm value);
-Digital temperature measurement (value adjustment);
-Digital temperature alarm above the temperature (adjustable value);
-You can control the lithium batteries by quickly discharging by controlling the large high power amplifier;
-Battery capacity condition shown with three-color RGB LEDs;
-Using two 110dB buzzer alarms;
- 0.36in bright red digital tube screen;
-Antitransposition connection at the entrance and exit;

The package includes:

1 AOK 5in1 test module
1x connection cable
1x user manual",5.67,,,,20
high,11816,,AOK Universal Discharge Module 150W,High Grade Equipments,,15.96,,,,21
high,11556,,HOT 3.7v charger one for six A1001S lithium battery charger,High Grade Equipments,"100% New
Li-poly charger
Input: DC 5V
Output: DC 4.3V 350mAh

Package content:
100% New
1 x charger
1 x USB cable",4.2,,,,22
high,11552,,2-6S lithium battery high precision electric display Maxpro large screen LCD liquid crystal voltage display,High Grade Equipments,,19.53,,,,23
