Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
cassia,1,,ACE 800mAh 15C  7.4V  2S1P ,TATTU ACE Series,"Voltage : 8.4V
SIZE : 16*30*55mm
Weight : 52g",15.2,10 - 15,,,"800,2"
cassia,2,,ACE 1050mAh 22.2V 45C 6S1P,TATTU ACE Series,"Voltage : 25.2V
SIZE : 34*35*73mm
Weight : 166g",57.6,10 - 15,,,"1050,6"
cassia,3,,ACE 1300mAh 25C  7.4V  2S1P ,TATTU ACE Series,"Voltage : 8.4V
SIZE : 17*34*70mm
Weight : 86g",20.6,10 - 15,,,"1300,2"
cassia,4,,ACE 1300mAh 25C  11.1V  3S1P ,TATTU ACE Series,"Voltage : 12.6V
SIZE : 25*34*70mm
Weight : 122g",31.2,10 - 15,,,"1300,3"
cassia,5,,ACE 1400mAh 45C  22.2V  6S1P ,TATTU ACE Series,"Voltage : 25.2V
SIZE : 34*33*107mm
Weight : 230g",72.9,10 - 15,,,"1400,6"
cassia,6,,ACE 1800mAh 20C  11.1V  3S1P ,TATTU ACE Series,"Voltage : 12.6V
SIZE : 25*29*91mm
Weight : 144g",38.2,10 - 15,,,"1800,3"
cassia,7,,ACE 2000mAh 5C  7.4V  2S1P ,TATTU ACE Series,"Voltage : 8.4V
SIZE : 16*30*93
Weight : 90g",29.4,10 - 15,,,"2000,2"
cassia,8,,ACE 2000mAh 5C  11.1V  3S1P ,TATTU ACE Series,"Voltage : 12.6V
SIZE : 25*30*93
Weight : 140g",42.3,10 - 15,,,"2000,3"
cassia,9,,ACE 2250mAh 1C  6.6V  2S1P ,TATTU ACE Series,"Voltage : 7.2V
SIZE : 16*40*76mm
Weight : 100g",34.1,10 - 15,,,"2250,2"
cassia,10,,ACE 4000mAh 1C 7.4V  2S1P ,TATTU ACE Series,"Voltage : 8.4V
SIZE : 19*51*69
Weight : 149g",58.2,10 - 15,,,"4000,2"
cassia,11,,ACE 2200mAh 20C  7.4V  2S1P,TATTU ACE Series,"Voltage : 8.4V
SIZE : 17*33*104mm
Weight : 132g",31.2,10 - 15,,,"2200,2"
cassia,12,,ACE 2200mAh 20C  11.1V  3S1P ,TATTU ACE Series,"Voltage : 12.6V
SIZE : 25*33*105mm
Weight : 186g",42.9,10 - 15,,,"2200,3"
cassia,13,,ACE 2200mAh 20C  14.8V  4S1P ,TATTU ACE Series,"Voltage : 16.8V
SIZE : 32*33*106mm
Weight : 242g",58.2,10 - 15,,,"2200,4"
