Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
cassia,1,,TATTU 2500mAh 2S1P 7.4V DC3.5mm GOGGLE glasses battery,TATTU FPV Battery Series,"Voltage : 8.4V
SIZE : 18.6*38.1*73.7mm
Weight : 102g",46.4,10 - 15,,,"2500,2"
cassia,2,,220mAh 45C 1S1P,TATTU FPV Battery Series,"Voltage : 4.2V
SIZE : 5.5*11*55mm 
Weight : 5.5g",10.5,10 - 15,,,"220,1"
cassia,3,,450mAh 7.4V 75C 2S1P,TATTU FPV Battery Series,"Voltage : 8.4V
SIZE : 15*16.5*63mm
Weight : 30g",18.8,10 - 15,,,"450,2"
cassia,4,,450mAh 11.1V 75C 3S1P,TATTU FPV Battery Series,"Voltage : 12.6V
SIZE : 21*16.5*63mm
Weight : 45g",23.5,10 - 15,,,"450,3"
cassia,5,,450mAh 14.8V 75C 4S1P,TATTU FPV Battery Series,"Voltage : 16.8V
SIZE : 27*16.5*64.5mm
Weight : 58g",31.2,10 - 15,,,"450,4"
cassia,6,,850mAh 11.1V 45C 3S1P,TATTU FPV Battery Series,"Voltage : 12.6V
SIZE : 22.2*30.4*60mm
Weight : 76g",24.7,10 - 15,,,"850,3"
cassia,7,,850mAh 14.8V 45C 4S1P,TATTU FPV Battery Series,"Voltage : 16.8V
SIZE : 29*31*60mm
Weight : 99g",32.9,10 - 15,,,"850,4"
cassia,8,,850mAh 11.1V 75C 3S1P,TATTU FPV Battery Series,"Voltage : 12.6V
SIZE : 22.8*30*61mm
Weight : 80g",29.4,10 - 15,,,"850,3"
cassia,9,,850mAh 14.8V 75C 4S1P,TATTU FPV Battery Series,"Voltage : 16.8V
SIZE : 30.5*30*61mm
Weight : 107g",39.4,10 - 15,,,"850,4"
cassia,10,,1300mAh 11.1V 45C 3S1P,TATTU FPV Battery Series,"Voltage : 12.6V
SIZE : 24.5*36.5*72mm
Weight : 127g",34.1,10 - 15,,,"1300,3"
cassia,11,,1300mAh 14.8V 45C 4S1P,TATTU FPV Battery Series,"Voltage : 16.8V
SIZE : 31.5*36.5*72mm
Weight : 166g",45.9,10 - 15,,,"1300,4"
cassia,12,,1300mAh 11.1V 75C 3S1P,TATTU FPV Battery Series,"Voltage : 12.6V
SIZE : 24.5*36.5*72mm
Weight : 127g",40.6,10 - 15,,,"1300,3"
