Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
may,FD-T101,,T Plug Male & Female Deans (Pair),High Quality,,0.3,,,5,1
may,FD-T102,,Anti-slip T Plug Male & Female Deans (Pair),High Quality,,0.4,,,5,2
may,FD-T103,,Amass T Plug Male & Female Deans with Sheath Cap (Pair),High Quality,,0.7,,,5,3
may,FD-T104,,Amass XT30U Male & Female Plugs (Pair),High Quality,,0.8,,,5,4
may,FD-T105,,Amass XT60 Male & Female Plugs (Pair),High Quality,,0.8,,,5,5
may,FD-T106,,Amass Blue XT60 Male & Female Plugs (Pair),High Quality,,0.9,,,5,6
may,FD-T107,,Amass Black XT60 Male & Female Plugs (Pair),High Quality,,0.9,,,5,7
may,FD-T108,,Amass XT60H Male & Female Plugs with Cap (Pair),High Quality,,0.9,,,5,8
may,FD-T109,,Amass Black XT60H Male & Female Plugs with Cap (Pair),High Quality,,1,,,5,9
may,FD-T110,,Amass XT90 Male & Female Plugs (Pair),High Quality,,2,,,5,10
may,FD-T111,,Amass XT90H Male & Female Plugs with Cap (Pair),High Quality,,2,,,5,11
may,FD-T112,,Amass XT90H Male & Female Plug with Cap Black (Pair),High Quality,,2.2,,,5,12
may,FD-T113,,Amass XT90S Anti-Spark Male & Female Plugs (Pair),High Quality,,3.5,,,5,13
may,FD-T114,,Amass AS12 Anti-Spark Male & Female Plugs (Pair),High Quality,,11,,,5,14
may,FD-T115,,TRX Male & Female Plugs,High Quality,,1,,,5,15
may,FD-T116,,EC2 Connectors (Pair),High Quality,,1.2,,,5,16
may,FD-T117,,EC3 Connectors (Pair),High Quality,,1,,,5,17
may,FD-T118,,EC5 Connectors (Pair),High Quality,,1.5,,,5,18
may,FD-T119,,EC8 Connectors (Pair),High Quality,,2.5,,,5,19
may,FD-T120,,2.0mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.25,,,5,20
may,FD-T121,,3.5mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.3,,,5,21
may,FD-T122,,4.0mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.35,,,5,22
may,FD-T123,,5.0mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.6,,,5,23
may,FD-T124,,5.5mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.6,,,5,24
may,FD-T125,,6.0mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.6,,,5,25
may,FD-T126,,6.5mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.7,,,5,26
may,FD-T127,,8.0mm Glod Banana Bullet Male & Female (Pair),High Quality,,0.7,,,5,27
