Supplier Code,Product Code,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
mira,HY001-04401,6045 Two-leaf propulsion,Propeller for Multicopter (Forward + Reverse),"Size : 6045 Two-leaf propulsion
With washer 3/4/5/6mm
Weight :  7.6g/pair
Unit : pair
Color : (black/red/yellow/orange/blue/green)",1.5,,,,10
mira,HY001-04407,6045 Two-bladed,Propeller for Multicopter (Forward) ,"Size : 6045 Two-bladed
With washer 3/4/5/6mm
Weight :  3.8g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.75,,,,11
mira,HY001-04413,6045 Two-bladed reverse propeller,Propeller for Multicopter (Reverse),"Size : 6045 Two-bladed reverse propeller
With washer 3/4/5/6mm
Weight :  3.8g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.75,,,,12
mira,HY001-04501,5045 Two-leaf propulsion,Propeller for Multicopter (Forward + Reverse),"Size : 5045 Two-leaf propulsion
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight :  4.2g/pair
Unit : pair
Color : (black/red/yellow/orange/blue/green)",1.35,,,,7
mira,HY001-04507,5045 Two-bladed,Propeller for Multicopter (Forward) ,"Size : 5045 Two-bladed
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight :  2.1g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.69,,,,8
mira,HY001-04513,5045 Two-bladed reverse propeller,Propeller for Multicopter (Reverse),"Size : 5045 Two-bladed reverse propeller
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight : 2.1g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.69,,,,9
mira,HY001-04601,4045 Two-leaf propulsion,Propeller for Multicopter (Forward + Reverse),"Size : 4045 Two-leaf propulsion
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : pair
Color : (black/red/yellow/orange/blue/green)",1.2,,,,1
mira,HY001-04607,4045 Two-bladed,Propeller for Multicopter (Forward) ,"Size : 4045 Two-bladed
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.6,,,,2
mira,HY001-04613,4045 Two-bladed reverse propeller,Propeller for Multicopter (Reverse),"Size : 4045 Two-bladed reverse propeller
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.6,,,,3
mira,HY001-04701,6045 clover Forward and reverse,Propeller for Multicopter (Forward + Reverse),"Size : 6045 clover Forward and reverse
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight :  10g/pair
Unit : pair
Color : (black/red/yellow/orange/blue/green)",1.95,,,,13
mira,HY001-04707,6045 clover Forward,Propeller for Multicopter (Forward + Reverse),"Size : 6045 clover Forward
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight :  5g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.99,,,,14
mira,HY001-04713,6045 clover Reverse,Propeller for Multicopter (Forward + Reverse),"Size : 6045 clover Reverse
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Weight :  5g/pc
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.99,,,,15
mira,HY001-04801,5045 clover Forward and reverse,Propeller for Multicopter (Forward + Reverse),"Size : 5045 clover Forward and reverse
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : pair
Color : (black/red/yellow/orange/blue/green)",1.8,,,,4
mira,HY001-04807,5045 clover Forward,Propeller for Multicopter (Forward + Reverse),"Size : 5045 clover Forward
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.9,,,,5
mira,HY001-04813,5045 clover Reverse,Propeller for Multicopter (Forward + Reverse),"Size : 5045 clover Reverse
With washer 3/3.2/3.5/4/4.8/5/6/6.35mm
Unit : 1 pc
Color : (black/red/yellow/orange/blue/green)",0.9,,,,6
