Supplier Code,Product Code,Picture,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
high,12135,,AMASS XT60 parallel line 1 female 2 public line,High Quality,length 10CM 16AWG,2.3,,,2,1
high,12136,,AMASS XT60 series line 1 mother 2 line,High Quality,length 10CM 12AWG,2.2,,,2,2
high,12137,,AMASS XT60 male to JST male line,High Quality,length 10CM 18AWG,1.1,,,2,3
high,12138,,AMASS XT60 male to JST female head,High Quality,length 10CM 18AWG,1.1,,,2,4
high,12139,,AMASS XT60 male to T plug male line,High Quality,length 10CM 14AWG,1.5,,,2,5
high,12140,,AMASS XT60 male to T female insert line,High Quality,length 10CM 14AWG,1.5,,,2,6
high,12141,,AMASS XT60 male to XT30 male line,High Quality,length 10CM 16AWG,1.5,,,2,7
high,12142,,AMASS XT60 male to XT30 female line,High Quality,length 10CM 16AWG,1.5,,,2,8
high,12143,,AMASS XT60 female to JST female head,High Quality,length 10CM 18AWG,1.1,,,2,9
high,12144,,AMASS XT60 female to JST male line,High Quality,length 10CM 18AWG,1.1,,,2,10
high,12145,,AMASS XT60 female to XT30 male line,High Quality,length 10CM 16AWG,1.5,,,2,11
high,12146,,AMASS XT60 female to XT30 female line,High Quality,length 10CM 16AWG,1.5,,,2,12
high,12147,,AMASS XT60 female to T plug male line,High Quality,length 10CM 14AWG,1.5,,,2,13
high,11997,,AMASS XT60 male + XT60 female (Pair),High Quality,power cord 12AWG 15CM,4.2,,,1,14
high,21517,,XT60 male to 2 XT60 female (5 packs),High Quality,100MM adapter cable,7.5,,,2,15
high,17234,,JST female to small white head lithium battery adapter cable (5 packs),High Quality,,1.5,,,1,16
high,17228,,T head revolution EC3 female adapter cable 14# line length 100mm (5 packs),High Quality,,4.5,,,1,17
high,11184,,XT90 female to 4.0 banana head adapter cable 12# 300mm (2 packs),High Quality,,4.8,,,1,18
high,18969,,Huakel small white plug wire Male and female pair 10cm 24# (5 pairs),High Quality,,1.8,,,1,19
high,18437,,JST and a line of one mother to two public Yuntai parallel line / one to two (2 loaded),High Quality,,1.8,,,1,20
high,18908,,1 T head revolution 2 T head mother adapter cable (5 packs),High Quality,,6.2,,,1,21
high,11014,,XT30* female head to 4.0 banana head connecting line 12# 30CM (2 pieces),High Quality,,3.8,,,1,22
high,21516,,T head revolution Datiangong head mother connection line 14# 100MM (5 pieces) extension cable,High Quality,,4,,,1,23
high,21284,,4.0 Banana head turn TRX male adapter cable 30CM 12# (2 packs),High Quality,,4,,,1,24
high,11457,,Habson H501S H502S battery parallel line EC2 16# (2 packs),High Quality,,4,,,1,25
high,10535,,T head battery terminal battery adapter cable 10CM 12# (5 packs),High Quality,,3.8,,,1,26
high,11190,,EC2 to 4.0 banana head adapter cable 16#30cm (2 packs),High Quality,,3.8,,,1,27
high,18138,,EC5 to 4.0 banana head Charging line 12# 30cm (2 pieces),High Quality,,4.2,,,1,28
high,18973,,XT60 electric adjustable end belt line 10CM 12# (5 pieces),High Quality,,4,,,1,29
high,18973-2,,XT60 battery end with line 10CM 12# (5 pieces),High Quality,,4,,,1,30
high,21409,,XT60 ESC end 4.0 banana head line adapter cable 22cm 12# (2 packs),High Quality,,3.2,,,1,31
high,21409-2,,XT60 ESC end 4.0 banana head adapter cable 20cm long 18# (2 packs),High Quality,,2.8,,,1,32
high,8888,,SM headband extension cord 10CM (5 packs),High Quality,,1.2,,,1,33
high,21519,,Steering gear plug (6 pairs) futaba models,High Quality,,1.8,,,2,34
high,11457-2,,Habson H501S/A H502S/E battery parallel line EC2 line 16,High Quality,total length 11.5cm,5.5,,,10,35
high,19284,,2S balance line welding free 10cm male and female extension cord 22#,High Quality,,0.8,,,10,36
high,18144,,3S balance line solderless 10CM male and female extension cord 22#,High Quality,,1,,,10,37
high,19275,,4S welding balance line 10CM male and female extension line 22#,High Quality,,1.2,,,10,38
high,10520,,5s balance line free welding 10CM male and female extension line 22#,High Quality,,1.5,,,10,39
high,18145,,6S balance line solderless 10CM male and female extension cord 22#,High Quality,,1.8,,,10,40
high,21693,,T head mother to EC3 male adapter cable (5 packs),High Quality,,12.5,,,10,41
high,21902,,"XT60* battery terminal with EC3 female adapter cable ""5 packs""",High Quality,,13.5,,,10,42
high,21690,,XT60 male to EC3 male adapter cable,High Quality,,13.5,,,10,43
high,21691,,"XT60 female ""electrical adjustment end"" to EC3 female head adapter cable",High Quality,,13.5,,,10,44
high,13047,,T head mother battery end turn JST female head line transfer cable 10CM 22#,High Quality,,1.5,,,10,45
high,19251,,T head revolution JST male line conversion line 10CM 22#,High Quality,,1.5,,,10,46
high,13047-2,,JST female head to XT60 male battery terminal adapter cable,High Quality,,1.8,,,10,47
