Supplier Code,Product Code,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
cassia,1,ACE 350mAh 35C 7.4V 2S1P ,Tattu Ace Hot Selling Battery,"ACE 350mAh 35C 7.4V 2S1P 
Voltage (V) : 8.4V
Size (mm) : 10*25*52mm
Weight (g) : 25g
",8.8,,,1,"350,2"
cassia,2,ACE 450mAh 25C 7.4V 2S1P,Tattu Ace Hot Selling Battery,"ACE 450mAh 25C 7.4V 2S1P
Voltage (V) : 8.4V
Size (mm) : 9.4*30*58mm
Weight (g) : 25g
",8.8,,,1,"450,2"
cassia,3,ACE 520mAh 35C 7.4V 2S1P,Tattu Ace Hot Selling Battery,"ACE 520mAh 35C 7.4V 2S1P
Voltage (V) : 8.4V
Size (mm) : 15.6*24*44mm
Weight (g) : 32g
",13.2,,,1,"520,2"
cassia,4,ACE 800mAh 15C  7.4V  2S1P ,Tattu Ace Hot Selling Battery,"ACE 800mAh 15C  7.4V  2S1P 
Voltage (V) : 8.4V
Size (mm) : 15*30*53mm
Weight (g) : 48g
",11,,,1,"800,2"
cassia,5,ACE 1050mAh 22.2V 45C 6S1P,Tattu Ace Hot Selling Battery,"ACE 1050mAh 22.2V 45C 6S1P
Voltage (V) : 25.2V
Size (mm) : 34*35*73mm
Weight (g) : 166g
",39.6,,,1,"1050,6"
cassia,6,ACE 1300mAh 25C  7.4V  2S1P ,Tattu Ace Hot Selling Battery,"ACE 1300mAh 25C  7.4V  2S1P 
Voltage (V) : 8.4V
Size (mm) : 15*35*70mm
Weight (g) : 79g
",13.2,,,1,"1300,2"
cassia,7,ACE 1300mAh 25C  11.1V  3S1P ,Tattu Ace Hot Selling Battery,"ACE 1300mAh 25C  11.1V  3S1P 
Voltage (V) : 12.6V
Size (mm) : 22*35*71mm
Weight (g) : 110g
",19.8,,,1,"1300,3"
cassia,8,ACE 1400mAh 45C  22.2V  6S1P ,Tattu Ace Hot Selling Battery,"ACE 1400mAh 45C  22.2V  6S1P 
Voltage (V) : 25.2V
Size (mm) : 28*35*117mm
Weight (g) : 232g
",48.4,,,1,"1400,6"
cassia,9,ACE 1800mAh 20C  11.1V  3S1P ,Tattu Ace Hot Selling Battery,"ACE 1800mAh 20C  11.1V  3S1P 
Voltage (V) : 12.6V
Size (mm) : 23*30*92mm
Weight (g) : 135g
",26.4,,,1,"1800,3"
cassia,10,ACE 1800mAh 50C  22.2V  6S1P ,Tattu Ace Hot Selling Battery,"ACE 1800mAh 50C  22.2V  6S1P 
Voltage (V) : 25.2V
Size (mm) : 37*34*107mm
Weight (g) : 287g
",61.6,,,1,"1800,6"
cassia,11,ACE 2000mAh 5C  7.4V  2S1P ,Tattu Ace Hot Selling Battery,"ACE 2000mAh 5C  7.4V  2S1P 
Voltage (V) : 8.4V
Size (mm) : 16*30*94mm
Weight (g) : 92g
",19.8,,,1,"2000,2"
cassia,12,ACE 2000mAh 5C  11.1V  3S1P ,Tattu Ace Hot Selling Battery,"ACE 2000mAh 5C  11.1V  3S1P 
Voltage (V) : 12.6V
Size (mm) : 22*30*94mm
Weight (g) : 128g
",28.6,,,1,"2000,3"
