Supplier Code,Product Code,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
cassia,1,TATTU FPV 2500mAh 2S1P 7.4V DC3.5mm,TATTU FPV Battery,"TATTU FPV 2500mAh 2S1P 7.4V DC3.5mm
Voltage (V) : 8.4V
Size (mm) : 18.6*38*74mm
Weight (g) : 102g
",26.4,,,1,"2500,2"
cassia,2,TATTU FPV 220mAh 45C 1S1P,TATTU FPV Battery,"TATTU FPV 220mAh 45C 1S1P
Voltage (V) : 4.2V
Size (mm) : 6*13*51mm
Weight (g) : 6g/44g
",4.4,,,5,"220,1"
cassia,3,TATTU FPV 350mAh 30C 1S1P,TATTU FPV Battery,"TATTU FPV 350mAh 30C 1S1P
Voltage (V) : 4.2V
Size (mm) : 8*20*33mm
Weight (g) : 9.3g
",6.6,,,5,"350,1"
cassia,4,TATTU FPV 380mAh 25C 1S1P,TATTU FPV Battery,"TATTU FPV 380mAh 25C 1S1P
Voltage (V) : 4.2V
Size (mm) : 8*18*38mm
Weight (g) : 10g
",6.6,,,5,"380,1"
cassia,5,TATTU FPV 600mAh 30C 1S1P ,TATTU FPV Battery,"TATTU FPV 600mAh 30C 1S1P 
Voltage (V) : 4.2V
Size (mm) : 7.7*18.5*58.5mm
Weight (g) : 15.7g
",6.6,,,5,"600,1"
cassia,6,TATTU FPV 450mAh 45C 1S1P,TATTU FPV Battery,"TATTU FPV 450mAh 45C 1S1P
Voltage (V) : 4.35V
Size (mm) : 8*17*58mm
Weight (g) : 13g
",6.6,,,5,"450,1"
cassia,7,TATTU FPV 450mAh 14.8V 45C 4S1P,TATTU FPV Battery,"TATTU FPV 450mAh 14.8V 45C 4S1P
Voltage (V) : 16.8V
Size (mm) : 27*24*45mm
Weight (g) : 55g
",19.8,,,1,"450,4"
cassia,8,TATTU FPV 450mAh 7.4V 75C 2S1P,TATTU FPV Battery,"TATTU FPV 450mAh 7.4V 75C 2S1P
Voltage (V) : 8.4V
Size (mm) : 15*16.5*63mm
Weight (g) : 30g
",11,,,5,"450,2"
cassia,9,TATTU FPV 450mAh 11.1V 75C 3S1P,TATTU FPV Battery,"TATTU FPV 450mAh 11.1V 75C 3S1P
Voltage (V) : 12.6V
Size (mm) : 21*16.5*63mm
Weight (g) : 45g
",15.4,,,1,"450,3"
cassia,10,TATTU FPV 450mAh 14.8V 75C 4S1P,TATTU FPV Battery,"TATTU FPV 450mAh 14.8V 75C 4S1P
Voltage (V) : 16.8V
Size (mm) : 27*16.5*63mm
Weight (g) : 58g
",19.8,,,1,"450,4"
