Supplier Code,Product Code,Name,SubName,Description,Price USD,Delivery,Discount,Minimum Order,Sort
high,11558,HMDVR-S Subminiature Video Audio Video Recorder FPV Cross Machine,Genuine and Standard,"Characteristics:

Current consumption: max. 260mA
Operating temperature: -10  + 65 phi C
Interface: JST SH1.0 or 1.25 pin heads
Compress Format: MJPEG
Registers the frame rate: 30 frames
Audio input: supports microphone-telephone input
Touch the button to start / stop the video recorder
Operating temperature: -10  + 65 phi C (with heat treatment)
Storage temperature: -30  + 85 phi C
Ambient temperature / humidity: 25 phi C / 85% RH
Start mode: start Electrical
System start time: 5-10 seconds
The video starts to stop: short press Start / stop
Video time: every 3 minutes to store a section,
Support for TF card: Max.32G
Video file format: AVI file
Compression format: MJPEG
Video frame rate: 30 frames",16.324,,,5,4
high,18325,HD Mini 700 Camera 2.1mm (P system),Genuine and Standard,"New and high quality.
Advanced image sensor for great video quality.
Trouble free! Plug in and play!
700TVL horizontal resolution;
2.1mm wide angle lens;
Size: 25mm * 25mm
D-WDR;
Day / Night mode is optional;",9.24,,,5,5
high,13396,HJ-1200 filter,Genuine and Standard,"Dedicated FPV aerial drones and other 1.4G low-pass filters. Effectively reduce 1.2G image transmission to 2.4G equipment (2.4g remote control receiver) interference and increase remote control distance!
Connected to 1.2g video transmission can greatly reduce frequency interference above 1.4g
If your image transmission is 1.2g and the remote control receiver is 2.4g, then this filter is highly recommended

Note: This filter is only suitable for image transmission at frequencies below 1.4G, not suitable for 2.4G and 5.8G image transmission!
Under the same conditions, the transmission distance and anti-blocking performance of 1.2G image transmission is much better than 2.4G and 5.8G image transmission, which is more suitable for long-distance and complex environment video transmission.
 
Features:
1: small size, light weight, small insertion loss, frequency can be customized.
2: Gold-plated SMA connectors on both sides (sma female head-external thread internal hole on one side; sma male-internal thread internal needle on the other side) , double-sided circuit board design, high mechanical strength and stable electrical performance.
3: Has better passband ripple coefficient and out-of-band suppression capability.
4: Unique shielding design, beautiful and practical.
5: Imported SMD components, durable, zero failure rate.
6: Size: 35mm * 7mm * 6.5mm
7: Weight: 5.40g",9.24,,,5,6
high,16642,Eachine FPV Boscam 5.8G 600mW 32CH Wireless Transmitter TS832 RC832 Receiver for FPV Multicopter,Genuine and Standard,"Description:
TS832:
Brand name: Eachine Item
name: TS832 transmitter
Frequency: 5.8G Power
input: 7.4-16V (Lipo 3 S recommended)
Transmission power: 600mA
Video format: NTSC / PAL Auto
bandwidth: 6.5 M
bandwidth video 8M
antenna Gain: 2db
Weight: about 22g
operating current: 220mA to 12 V
Dimension: 54x32x10mm (without antenna)
Connector: RP-SMA side of the transmitter module, antenna RP-SMA plug

RC832:
Brand name : Eachine
Article name: RC832 receiver
Antenna Impedance: 50
Antenna gain: 2db
Video Impedance: 75 
format: NTSC / PAL auto
Power input: 12 V
Operating current: 200mA max.
Dimension: 80x65x15mm
Weight: Around 85g
Connector: RP-SMA connector side of the receiver module, RP-SMA antenna plug

Features:              
32 channels to choose from to get the best transmission quality.
Super small 600 mA current for mW wireless transmitter.
Compatible with frequency bands A, B, E and F
Smaller size with lighter weight.
32 channels compatible with all FPV 5.8g receivers.
5.8G 600mW 32 channels AV Wireless FPV Transmitter
The 600 mW transmitter power ensures a distance of 5 KM in open area, 5-8 KM is available if it works with the largest gain antenna.

Graphite crucible mini furnace gold torch melting metal:
1 x TS382 transmitter
1 x RC832 receiver
2x5.8G 5DB antenna
3 x cable",19.404,,,5,7
high,11644,5.8G image transmission FOXEER lollipop antenna (red/black/purple),Genuine and Standard,"Specification:
Housing material: imported PC + ABS Weight: 7.2G
Antenna Length: 59mm
2.3 dBi gain
Center Frequency: 5.8 GHz
Bandwidth: 500 MHz (5.5-6.0 GHz)
Combination: VSWR  less than 1.2 (at the center frequency)
Axial Ratio: less than 1.0
Radiation Efficiency: 98%
Polarization: RHCP
Connector: SMA
Red color
Characteristics:
1. Excellent workmanship, manufactured and tested to the highest standards. The best class range and signal quality
2. IRoot 360 phi protection reinforcement design
3. Low feeder loss, easy to install, can be folded at any maintenance angle
4. Body adopt imported PC + ABS material, can withstand high strength impacts",9.856,,,5,8
high,13050,90mm antenna extension cable inner hole to inner pin,Genuine and Standard,2pcs 90mm V SMA antenna extension cable female to male SMA antenna antennas,1.54,,,5,9
high,13409,DJI PHANTOM 2-Axis Gimbal Silver,Genuine and Standard,"2 Aixs 2D brushless camera gimbal for Gopro SJCAM Xiaomi YI Action camera Eken F450 F550 S500 FPV Dron Quadrocopter multi-rotor
 
Specification
Material: CNC aluminum alloy
Motor: 2208 80KV brushless motor
Controller board: BGC3.0 brushless plate
Fireware: BGC2.2
Strap: Gopro camera strap
Compatible camera: Gopro3 / 3 + / 4, SJ, firefly, Xiaoyi, etc.
Battery connector type: JST plug or XH-2.54 plug
Compatible drone: DJI Phantom 1.2 and other DIY drone
Weight: 170g
Package size: 125 * 125 * 105mm

How to use
1. Remove the shock absorbing damping ball, open the mounting plate cover
2. Install the top plate on the drone, use the screw to tighten it.
3. Install Shock Absorption Damping Ball
4. Install your Gorpo camera and use the strap to tighten.

Attention.
1. Recommend 12V battery (3S battery)
2. Gopro Mushroom fixed in gimbal. (It's very important)
3. Adjust the right or left Gopro camera, make the camera horizontal
4. Open the Gopro camera before it is fixed on the gimbal.",49.896,,,1,1
high,13364,HAKRC Storm32 3 Axis brushless gimbal accessory with motors and 32 bit Storm32 controller for Gopro3 / Gopro4 gimbal,Genuine and Standard,"HAKRC Storm32 3 axis light brushless gimbal Gopro3 Gopro4 FPV Accessories
Type: FPV Accessories
Brand: HAKRC Item
name: Storm32 3-axis brushless gimbal
Version of the Storm32 plate: V 1.32
Compatible: Gopro3 Gopro4
Color: Black
Input voltage: 3 4S (11.1-16.8 V )
Package: 1 x 3-axis brushless gimbal
Brand: HAKRC
FPV equipment : Gimbal Cardan
for camera: Brushless Gimbals",81.62,,,1,2
high,21563-1,Clearance FPV aerial photography hands-free debugging two-axis gimbal little ant Gopro3 mountain dog eagle eye test hollow shaft,Genuine and Standard,"Brand: HJ
Model: Aluminum two-axis head
Applicable gender: neutral
Type of aircraft: Aluminum two-axis gimbal
Type: electric
Color: black",43.12,,,1,3
high,11740,Panda VT5804M V2 Pro 0-600mW adjustable picture transmission,Genuine and Standard,"Specification:
Brand name: PandaRC
Article name: VT5804M V2 5.8G FPV transmitter
Power : 0mW / 25mW / 100mW /
200mW
/ 400mW / 600mW Channel: 48CH Format: NTSC / PAL
Size: 36mm x 36mm x 5mm
Holes: CC3D NAZE32 F3 F4 flight controller
Weight: ó6g (without attenna)

Characteristics:
2 power transmission 6 Switching speed : 0mW / 25mW / 100mW / 200mW / 400mW / 600mW;
3. Support OSD interface to adjust the frequency and power of the transmitter
4. Output 48 frequency points and group E 8 frequency points used simultaneously without interference;
5 Fast Ed and Ing A blocking frequency do not interfere with Other Partners;
6. Self test function of self test output power;
7. Full format video format : NTSC / PAL;
10. Light weight: less than 6g (without antenna)
11 Built-in microphone

Frequency and power control methods:
Support remote OSD interface controller to adjust transmission frequency and power
Key frequency control: press once to change the CH channel (CH1-CH8); press the button for 2 seconds and cut the button to change the frequency group FR (aF)
Key power control: press the button for 10 seconds and press the button to change the power",26.488,,,1,10
